tree,depth,nodes,Selecting Bootstrapped Samples,Initialization of FindBestCondOblique,SampleProjection,ApplyProjection,Initializing Histogram Bins,Setting Split Distributions,Looping over samples,Looping over splits,Finding best threshold (Computing Entropies),Post-processing after Training all Trees,,  ,Parameter,Value
0,0,1,6.0156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rows,512
0,1,1,0.0,1.6465e-05,0.000295745,0.00267153,0.012774632,0.001991421,0.029827117,0.001409277,0.013718806,0.0,,,cols,512
0,2,2,0.0,1.5758e-05,0.000469124,0.00301284,0.025450073,0.003919168,0.03087752,0.002845781,0.026235222,0.0,,,num_trees,3
0,3,4,0.0,2.8751e-05,0.000901806,0.003109615,0.050684058,0.007629364,0.030767776,0.005618632,0.036260804,0.0,,,tree_depth,-1
0,4,4,0.0,2.9173e-05,0.001003297,0.0031050080000000002,0.051182191,0.007708625,0.0292734,0.005609846,0.044601205,0.0,,,proj_density_factor,3
0,5,8,0.0,5.4193e-05,0.001983884,0.0033250600000000003,0.101610232,0.015818261,0.029783746,0.01140984,0.05050133,0.0,,,max_projections,1
0,6,8,0.0,5.0468e-05,0.0018984359999999999,0.0029530909999999997,0.102718032,0.015300695,0.025982881,0.011463751,0.04029063,0.0,,,num_threads,1
0,7,4,0.0,2.7285e-05,0.000948066,0.002374129,0.050587348,0.007727293,0.019913269,0.005604637,0.039769138,0.0,,,experiment_name,debugging histogram 10x slower
0,8,8,0.0,5.3322e-05,0.001844802,0.0029564730000000003,0.100962211,0.015115638,0.020342959,0.011106321,0.051713281,0.0,,,numerical_split_type,Random
0,9,8,0.0,4.9628e-05,0.001829597,0.001946069,0.100997348,0.015038962,0.012804993,0.011110948,0.042486867,0.0,,,cpu_model,Intel(R)_Core(TM)_Ultra_9_185H
0,10,8,0.0,4.9615e-05,0.001785224,0.0016318600000000002,0.10093881,0.014964364,0.009622958,0.01106938,0.02992287,0.0,,,repeat_index,1
0,11,4,0.0,2.541e-05,0.000953597,0.000878186,0.050541892,0.007534867,0.004923684,0.005566507,0.016041068,0.0,,,,
0,12,4,0.0,2.3817e-05,0.00091038,0.000672764,0.050331769,0.007578297,0.003912294,0.005546115,0.010401508,0.0,,,,
1,0,1,3.1171e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1,1,1,0.0,1.3799e-05,0.000232939,0.00263152,0.012751397,0.001926139,0.029684354,0.001428624,0.013803194,0.0,,,,
1,2,2,0.0,1.2168e-05,0.000444623,0.002652021,0.025429312,0.003852393,0.029894849,0.002833274,0.021618377,0.0,,,,
1,3,2,0.0,1.168e-05,0.0004537,0.002829771,0.02545692,0.003847883,0.028305335,0.002882365,0.025525373,0.0,,,,
1,4,4,0.0,2.5873e-05,0.0008784940000000001,0.0030686209999999997,0.050653332,0.007534665,0.028937273,0.005593566,0.044272489,0.0,,,,
1,5,6,0.0,3.929e-05,0.001377741,0.003263383,0.075864053,0.011255674,0.027540714,0.008368114,0.057467397,0.0,,,,
1,6,12,0.0,7.8354e-05,0.002723678,0.004066888,0.151628659,0.022396738,0.027774622,0.016712404,0.068742099,0.0,,,,
1,7,12,0.0,8.009799999999999e-05,0.002725839,0.003599785,0.151303863,0.022363351,0.023214911,0.016626643,0.053440071,0.0,,,,
1,8,8,0.0,4.9176e-05,0.001824562,0.0025709220000000002,0.100947967,0.015092259,0.017450043,0.011131123,0.049175389,0.0,,,,
1,9,6,0.0,3.714e-05,0.001237517,0.001281351,0.075799602,0.011129453,0.007655032,0.008321892,0.025872735,0.0,,,,
1,10,4,0.0,2.7215999999999998e-05,0.000862597,0.00064965,0.050415053,0.007445563,0.00405906,0.005585678,0.012776879,0.0,,,,
1,11,2,0.0,1.0731e-05,0.00040097799999999997,0.000216037,0.025207804,0.003673487,0.00097429,0.002745871,0.000440717,0.0,,,,
2,0,1,3.2448e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2,1,1,0.0,7.301e-06,0.00025805,0.00260583,0.01278628,0.001947766,0.029819472,0.00141717,0.013323425,0.0,,,,
2,2,2,0.0,1.7361e-05,0.00046284699999999995,0.002869547,0.025553891,0.004167373,0.030847451,0.002843772,0.025833487,0.0,,,,
2,3,4,0.0,2.8606e-05,0.000957766,0.003314658,0.050595335,0.007982105,0.030773696,0.005570091,0.034891459,0.00135233,,,,
2,4,6,0.0,4.5193e-05,0.001351437,0.00324054,0.075966503,0.011432207,0.029319224,0.008411386,0.040050084,0.0,,,,
2,5,8,0.0,5.1341e-05,0.001828506,0.0036435079999999997,0.10236784,0.015645424,0.029562432,0.011393593,0.045315012,0.0,,,,
2,6,6,0.0,3.9451e-05,0.001445106,0.0028624699999999998,0.076280316,0.011967319,0.023578382,0.008539108,0.044320387,0.0,,,,
2,7,6,0.0,4.0033e-05,0.001689754,0.002462103,0.076181363,0.011542662,0.020053625,0.008594651,0.039260931,0.0,,,,
2,8,6,0.0,3.8853e-05,0.001466952,0.0019502889999999998,0.076711417,0.011697225,0.015873507,0.008612,0.026700881,0.0,,,,
2,9,4,0.0,2.5335e-05,0.000875064,0.001650596,0.051715112,0.007792897,0.013775491,0.005763249,0.028834426,0.0,,,,
2,10,2,0.0,1.4232999999999999e-05,0.000496761,0.001179498,0.025301365,0.003834099,0.009219413,0.002828546,0.019938765,0.0,,,,
2,11,4,0.0,2.6594e-05,0.000944024,0.001250396,0.051089956,0.007638851,0.009338955,0.005617932,0.026909129,0.0,,,,
2,12,4,0.0,2.2535e-05,0.000904851,0.001130111,0.051862331,0.007597378,0.007515438,0.005726837,0.026294231,0.0,,,,
2,13,2,0.0,1.4894e-05,0.00040584,0.000671799,0.025871409,0.003706461,0.003676188,0.002949686,0.016641161,0.0,,,,
2,14,4,0.0,2.2278e-05,0.000994061,0.000665898,0.051693681,0.007695102,0.00360633,0.005826416,0.012621342,0.0,,,,
2,15,2,0.0,1.1727000000000001e-05,0.000444289,0.000235427,0.025523297,0.003844982,0.001177163,0.00308409,0.003149582,0.0,,,,
